Price,Close,High,Low,Open,Volume
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL
Date,,,,,
2017-01-03,26.7708797454834,26.812367188106784,26.45050517796105,26.690210206622385,115127600
2017-01-04,26.740917205810547,26.853856325809012,26.678686917179377,26.701735107099655,84472400
2017-01-05,26.87690544128418,26.934526797301263,26.69251639864383,26.717869935968483,88774400
2017-01-06,27.176532745361328,27.23415409194198,26.84463322634831,26.91608313339986,127007600
2017-01-09,27.42546272277832,27.52687688171069,27.183454059595714,27.185757647960976,134247600
2017-01-10,27.453115463256836,27.515345746010688,27.266422856531268,27.374749514772123,97848400
2017-01-11,27.600635528564453,27.642122984248687,27.335576881607654,27.367844707310436,110354400
2017-01-12,27.485382080078125,27.496907052679664,27.24567706937037,27.40471254725915,108344800
2017-01-13,27.436983108520508,27.570665066846857,27.383970691093122,27.4531170167003,104447600
2017-01-17,27.65825653076172,27.713572551453154,27.24799267357642,27.27564980468984,137759200
2017-01-18,27.65594482421875,27.773492879814494,27.591409188507892,27.658250170769623,94852000
2017-01-19,27.607540130615234,27.67899003983621,27.51304203375497,27.519956314200357,102389200
2017-01-20,27.65825653076172,27.761974289366236,27.596026227291926,27.761974289366236,130391600
2017-01-23,27.676692962646484,27.844946354610684,27.60524127815325,27.658253704811816,88200800
2017-01-24,27.651338577270508,27.681301051487395,27.54301013888461,27.554535114294993,92844000
2017-01-25,28.091562271118164,28.142269344718223,27.72278595193256,27.75505376995729,129510400
2017-01-26,28.10538673400879,28.2206294196382,28.0270207933796,28.043154699029163,105350400
2017-01-27,28.10770034790039,28.199894880983315,28.027030790877003,28.151493146769283,82251600
2017-01-30,28.0339412689209,28.0339412689209,27.810371886498583,27.872602176767842,121510000
2017-01-31,27.969409942626953,27.978629571951494,27.801156543231482,27.923313554468756,196804000
2017-02-01,29.674997329711914,30.076043219912517,29.273953197975487,29.27856213257431,447940000
2017-02-02,29.624292373657227,29.82250998639,29.45142829919011,29.497526440793255,134841600
2017-02-03,29.751056671142578,29.776410206516037,29.539010519350114,29.573581923528376,98029200
2017-02-06,30.02994728088379,30.07835077210367,29.709572650884894,29.76258683577543,107383600
2017-02-07,30.315736770629883,30.444807999521245,30.06681217908487,30.087555015815152,152735200
2017-02-08,30.43328857421875,30.474777772166192,30.244292388027546,30.274256613382484,92016400
2017-02-09,30.65320587158203,30.66015013053384,30.35227503235655,30.474961650073816,113399600
2017-02-10,30.583755493164062,30.773574630564617,30.567553401923714,30.66246297062399,80262000
2017-02-13,30.854589462280273,30.977279584405803,30.729589297262265,30.805979660619364,92141600
2017-02-14,31.255069732666016,31.271271827292853,30.845340765014317,30.89626768900161,132904800
2017-02-15,31.368492126464844,31.544422768597972,31.162470873579785,31.37080923418327,142492400
2017-02-16,31.33146095275879,31.458774733939673,31.21340147483764,31.40553423278166,90338400
2017-02-17,31.417102813720703,31.442566271235464,31.273583434369908,31.273583434369908,88792800
2017-02-21,31.643964767456055,31.655539711445915,31.477295464097686,31.535166651869982,98028800
2017-02-22,31.738862991333008,31.741176566431246,31.50737832318301,31.581451580259632,83347600
2017-02-23,31.604618072509766,31.824527916409927,31.551377559859272,31.801381556733773,83152800
2017-02-24,31.634706497192383,31.634706497192383,31.31525641477906,31.46109293625939,87106400
2017-02-27,31.69719123840332,31.815250669785502,31.54672762967851,31.74580456876812,81029600
2017-02-28,31.711091995239258,31.815259409291937,31.643959450683795,31.731924771614516,93931600
2017-03-01,32.3592414855957,32.442576110710704,31.852293009336645,31.919422011596236,145658400
2017-03-02,32.16712188720703,32.472679915469456,32.12082211222392,32.4078644691054,104844000
2017-03-03,32.35693359375,32.368508536083255,32.081466214230424,32.125448875790894,84432400
2017-03-06,32.255062103271484,32.35460231425894,32.08376576630517,32.26200635843636,87000000
2017-03-07,32.296749114990234,32.40323010814363,32.1277627262672,32.19026458966033,69785200
2017-03-08,32.1763801574707,32.36156866337355,32.134714598035465,32.1648052135686,74828800
2017-03-09,32.102298736572266,32.127762196632915,31.724981051170833,32.1161907865679,88623600
2017-03-10,32.20878601074219,32.2597129352126,32.09304364279613,32.23424947297739,78451200
2017-03-13,32.22267532348633,32.2759158250435,32.13471352356076,32.14165778323444,69686800
2017-03-14,32.17405700683594,32.32683421147691,32.139332185463424,32.24581669262619,61236400
2017-03-15,32.51433563232422,32.58146462695435,32.18331074467614,32.271276042348795,102767200
2017-03-16,32.56757736206055,32.64396772367826,32.468037121585745,32.57452161928256,76928000
2017-03-17,32.40553665161133,32.639334870947756,32.38238677429371,32.639334870947756,175540000
2017-03-20,32.74583053588867,32.75508837066969,32.46110178285636,32.500453761984666,86168000
2017-03-21,32.370819091796875,33.05601534719135,32.34535563390981,32.89629034155211,158119600
2017-03-22,32.73656463623047,32.77823371741696,32.35229920075717,32.373135507438455,103440800
2017-03-23,32.620819091796875,32.77359982087255,32.549059409642595,32.69952303143862,81385200
2017-03-24,32.55601119995117,32.81064580732806,32.488882184648105,32.75508820239768,89582400
2017-03-27,32.61156463623047,32.69026858402224,32.088406970162104,32.266651172541444,94300400
2017-03-28,33.28749465942383,33.343048716972746,32.551371607320455,32.61850413642617,133499200
2017-03-29,33.361576080322266,33.44722782697001,33.146296990269626,33.259722240315085,116760000
2017-03-30,33.317596435546875,33.44954443082265,33.218059694277166,33.37778472764183,84829200
2017-03-31,33.25509262084961,33.39629842816483,33.10462544757945,33.26898113760583,78646800
2017-04-03,33.26436233520508,33.36158551939869,33.11389864037205,33.266679443609476,79942800
2017-04-04,33.51203918457031,33.53981621676254,33.141662271852574,33.160181470706064,79565600
2017-04-05,33.33843994140625,33.67177859912132,33.28982658208216,33.38473619227167,110871600
2017-04-06,33.25509262084961,33.45416960276654,33.20647928002665,33.40092557896612,84596000
2017-04-07,33.18101501464844,33.37546130885718,33.16481292288576,33.27129390354365,66688800
2017-04-10,33.14167022705078,33.306025948716794,33.079168357439556,33.241210503259545,75733600
2017-04-11,32.78517532348633,33.18332924308847,32.42174269191748,33.088419679563074,121517600
2017-04-12,32.82452392578125,32.905541433604135,32.641649075102336,32.77822770242882,81400000
2017-04-13,32.65092849731445,32.95880367453886,32.65092849731445,32.85000554679124,71291600
2017-04-17,32.83147048950195,32.843045429197204,32.60924365675046,32.75044944381088,66328400
2017-04-18,32.68564224243164,32.880088562393745,32.66480946504497,32.73425558851045,58790000
2017-04-19,32.56526565551758,32.870827152662955,32.512025163927525,32.84305011916835,69313600
2017-04-20,32.972686767578125,33.08379845321876,32.67638658441855,32.690275103601536,93278400
2017-04-21,32.93332290649414,33.02822893073666,32.83609977510572,32.972674874043584,69283600
2017-04-24,33.25047302246094,33.322232737741146,33.1439884715379,33.21806529516738,68537200
2017-04-25,33.456478118896484,33.54212631405896,33.3036973933291,33.31295875788354,75486000
2017-04-26,33.25971603393555,33.4726850408515,33.19027345795837,33.4425909031442,80164800
2017-04-27,33.28519058227539,33.37084234148573,33.17407889150549,33.31528473001229,56985200
2017-04-28,33.25278091430664,33.403248112016215,33.16481911650478,33.3546347632973,83441600
2017-05-01,33.931026458740234,34.07454583698274,33.55602238930603,33.58843010478582,134411600
2017-05-02,34.14632034301758,34.280581946029244,33.99122595648107,34.15326460419253,181408800
2017-05-03,34.04214096069336,34.141681222939226,33.39630017256143,33.701858153687134,182788000
2017-05-04,33.91945266723633,34.06065847493561,33.75278340135599,33.91713909182939,93487600
2017-05-05,34.481956481933594,34.4865836319637,33.97268740457451,33.97268740457451,109310800
2017-05-08,35.41946792602539,35.579192912756085,34.49815993257278,34.49815993257278,195009600
2017-05-09,35.64633560180664,35.852356874597746,35.52133186693124,35.61855503173614,156521600
2017-05-10,35.47734069824219,35.634752116987755,35.21113472976516,35.56299243151182,103222800
2017-05-11,35.78417205810547,35.81206729700013,35.402970229604634,35.435511719351425,109020400
2017-05-12,36.28391647338867,36.35829549273668,35.95152514458997,35.958498066817725,130108000
2017-05-15,36.190940856933594,36.41175835238627,36.03985613550709,36.26299675628336,104038800
2017-05-16,36.13747787475586,36.27461674038462,35.96314772621748,36.246725051580384,80194000
2017-05-17,34.92414474487305,35.92828824630351,34.79862858057247,35.70282093825333,203070800
2017-05-18,35.4564323425293,35.64238524227317,35.12869430249739,35.16123579394583,134272800
2017-05-19,35.577301025390625,35.791145611314164,35.47735342896442,35.651683601410866,107843200
2017-05-22,35.79347229003906,35.9306111745003,35.5424364160598,35.795795415506454,91865600
2017-05-23,35.74930953979492,36.00499167515767,35.63541254562239,36.00499167515767,79675600
2017-05-24,35.64237976074219,35.83530555421472,35.48664525085,35.75859986186376,76712000
2017-05-25,35.76557159423828,35.87714544126716,35.570322682071584,35.733030108877166,76942400
2017-05-26,35.705142974853516,35.851581451035386,35.635410198254704,35.79579452040507,87710400
2017-05-30,35.71908950805664,35.8957428049836,35.640060681543765,35.660979450898985,80507600
2017-05-31,35.5075798034668,35.83532148555548,35.41925489914181,35.788834133791134,97804800
2017-06-01,35.60519027709961,35.64005843725237,35.38204965784921,35.602867151791905,65616400
2017-06-02,36.13282012939453,36.13282012939453,35.53777392075964,35.698158189615405,111082800
2017-06-05,35.779518127441406,35.90038802400569,35.670274496933565,35.87481946024702,101326800
2017-06-06,35.9003791809082,36.21649791553174,35.74464471155945,35.77253639360547,106499600
2017-06-07,36.11422348022461,36.25601210774367,35.90735189713172,36.03287155913486,84278400
2017-06-08,36.02590560913086,36.15374487368615,35.88876320422132,36.08633878049801,85003200
2017-06-09,34.628929138183594,36.07238388787654,33.940908348231446,36.07238388787654,259530800
2017-06-12,33.801456451416016,33.95719097359517,33.12505455830104,33.87583902444526,289229200
